UnitID,in-state-tuitition-2018
436599,20520
191199,5096
172440,22758
165802,30499
220181,21480
165820,10155
191205,19360
133711,18200
180197,6010
160481,3966
155052,6040
218025,4534
133650,5785
133669,4831
487384,16684
487445,16684
487409,
487490,
487436,16684
487418,16684
487454,
133997,
487472,
487427,
487393,
133809,17142
438285,
420103,
387925,
441423,
135160,3100
433660,6118
133881,41240
133951,6556
133960,3276
133979,15536
408844,13250
482936,4940
134079,34774
133508,3401
133702,2878
134097,5656
134112,
444219,1104
380368,5257
177418,25460
114716,1554
191241,50986
218043,10525
198552,2143
155061,5009
127185,8609
180212,2250
155098,2910
139719,6658
439738,14412
205179,14602
450067,15124
460020,16235
450058,14994
490975,15669
487302,13895
458478,
392415,
458681,20100
451909,14335
475130,14628
233329,15200
439792,15213
456180,13215
201399,14515
382957,14359
456454,17614
372921,14631
455628,14220
418870,14752
216418,13157
249609,15787
459958,
452124,17450
455479,14420
445744,15732
385503,27246
221795,14750
145239,15160
238722,4497
165866,9920
218061,10742
160074,12764
205957,26430
224891,3802
212577,54380
150604,30920
182795,34995
202806,12241
441982,51936
162557,6928
220215,21950
372073,
114789,1304
114813,30458
155089,27565
127200,3908
403469,9743
162584,8914
134237,23694
114859,1138
191302,5020
218070,48348
101240,3600
491181,
452948,
156471,
406033,
406024,
131450,16558
224961,2650
212601,30932
155104,3072
198561,30700
162609,7448
198570,2704
157438,4160
105145,2094
130396,4316
238759,4369
114938,1166
480912,
191339,4580
212656,26070
101286,4380
101295,3726
101301,4140
208822,35016
232186,11924
131469,53518
156745,37160
131496,52300
461236,6220
139861,9346
447689,5634
139700,3288
139755,12418
485111,6124
139384,2774
244446,2920
139931,6356
139764,5341
139940,9112
244437,3304
184773,32260
232195,4801
212674,52640
169974,4896
115010,
104708,2094
115001,1175
237385,7342
449384,31380
230889,16260
202903,7040
169992,6258
115083,16095
115126,1178
130989,23850
476337,
434690,
430157,
430166,
122366,
235316,41330
202912,15470
129154,20888
165936,36740
139968,3828
150668,33200
162654,43440
145336,11746
170000,11569
150677,23170
461528,5800
481058,2840
481401,5280
181093,23030
153366,28110
159009,7435
104717,17050
170055,6945
170082,11994
153375,26516
183257,7593
442569,6540
235334,3993
225070,2904
182306,3015
183150,7424
180249,3255
170091,15550
213181,
230898,37002
235343,3975
165981,5450
198598,29120
218113,4806
145372,26356
153384,50714
115296,1386
198613,35563
198622,2167
134343,2370
139995,11700
459213,
173647,44080
140003,9925
444714,
425250,
490559,
140012,2868
212832,33600
102313,4350
383084,
162690,5384
198640,2564
225201,
191515,52770
153427,14250
173665,40332
232256,43940
166018,51608
232265,25441
177542,21810
150756,36520
212869,23670
225247,27440
107044,19385
162706,5772
177551,5340
212878,7725
446640,23900
458432,16275
151166,16275
468398,16500
115393,1420
191533,44134
166027,48949
